No,type,actualSym,NAME,symbol,RSISup,CAP,Category,Scrape,NonPenny,KMI100,KMIALL,WA_Perc,WA_short,WA_mid,WA_long,M_Perc,M_short,M_mid,M_SigLen,M_long
269,PSX,HUMNL,Hum Network Limited.,HUMN,,,,,,,,0,9,17,70,0,4,15,9,21
270,PSX,IGIL,IGI Life Insurance Ltd.,IGIL,,,,,,,,0,9,17,70,0,4,15,9,21
271,PSX,EFGH,EFG Hermes Pakistan Ltd.,EFGH,,,,,,,,0,9,17,70,0,4,15,9,21
272,PSX,ICIBL,Invest Capital Investment Bank Ltd.,ICIBL,,,,,,,,0,9,17,70,0,4,15,9,21
273,PSX,ICL,Ittehad Chemical Ltd.,ITHD,,,,,,,,0,9,17,70,0,4,15,9,21
274,PSX,JATM,J. A. Textile Mills Ltd.,JATX,,,,,,,,0,9,17,70,0,4,15,9,21
275,PSX,ISIL,Ismail Industries Ltd.,ISML,,,,,,,,0,9,17,70,0,4,15,9,21
276,PSX,JKSM,J. K. Spinning Mills Ltd.,ZEET,,,,,,,,0,9,17,70,0,4,15,9,21
277,PSX,JSCL,Jahangir Siddiqui & Company Ltd.,JSCO,,,,,,,,0,9,17,70,0,4,15,9,21
278,PSX,JSCLPSA,Jahangir Siddiqui & Co. (Pref Sh.),JAND,,,,,,,,0,9,17,70,0,4,15,9,21
279,PSX,JSBL,JS Bank Limited.,JSBL,,,,,,,,0,9,17,70,0,4,15,9,21
280,PSX,JSIL,JS Investments Limited.,JSIL,,,,,,,,0,9,17,70,0,4,15,9,21
281,PSX,KSBP,KSB Pumps Co Ltd.,KSBP,,,,,,,,0,9,17,70,0,4,15,9,21
282,PSX,KHTC,Khyber Tobacco Co. Ltd.,KHYT,,,,,,,,0,9,17,70,0,4,15,9,21
283,PSX,KOHTM,Kohat Textile Mills Ltd.,KOTX,,,,,,,,0,9,17,70,0,4,15,9,21
284,PSX,KOHE,Kohinoor Energy Ltd.,KOHN,,,,,,,,0,9,17,70,0,4,15,9,21
285,PSX,KOSM,Kohinoor Spinning Mills Ltd.,KOHP,,,,,,,,0,9,17,70,0,4,15,9,21
286,PSX,KOIL,Kohinoor Industries Ltd.,KOHI,,,,,,,,0,9,17,70,0,4,15,9,21
287,PSX,KML,Kohinoor Mills Ltd.,KML,,,,,,,,0,9,17,70,0,4,15,9,21
288,PSX,KOHP,Kohinoor Power Co Ltd.,KHPW,,,,,,,,0,9,17,70,0,4,15,9,21
289,PSX,MACFL,MACPAC Films Limited.,MACP,,,,,,,,0,9,17,70,0,4,15,9,21
290,PSX,MQTM,Maqbool Textile Mills Ltd.,MQBT,,,,,,,,0,9,17,70,0,4,15,9,21
291,PSX,MSOT,Masood Textile Mills Ltd.,MASO,,,,,,,,0,9,17,70,0,4,15,9,21
292,PSX,MCBAH,MCB-Arif Habib Savings & Invest Ltd.,MARI,,,,,,,,0,9,17,70,0,4,15,9,21
293,PSX,MDTL,Media Times Limited.,MDTL,,,,,,,,0,9,17,70,0,4,15,9,21
294,PSX,MRNS,Mehran Sugar Mills Ltd.(XB),MEHS,,,,,,,,0,9,17,70,0,4,15,9,21
295,PSX,MERIT,Merit Packaging Ltd.,MERI,,,,,,,,0,9,17,70,0,4,15,9,21
296,PSX,MFFL,Mitchells Fruit Farms Ltd.,MITF,,,,,,,,0,9,17,70,0,4,15,9,21
297,PSX,MIRKS,Mirpurkhas Sugar Mills Ltd.,MPKS,,,,,,,,0,9,17,70,0,4,15,9,21
298,PSX,MODAM,Modarba Al-Mali.,ALMI,,,,,,,,0,9,17,70,0,4,15,9,21
299,PSX,NICL,Nimir Industrial Chemical Ltd.,NIIN,,,,,,,,0,9,17,70,0,4,15,9,21
300,PSX,NCPL,Nishat Chunian Power Ltd.,NCHU,,,,,,,,0,9,17,70,0,4,15,9,21
301,PSX,FFL,Fauji Foods Limited.,FAUJ,,,,,,,,0,9,17,70,0,4,15,9,21
302,PSX,OML,Olympia Mills Limited.,OYMP,,,,,,,,0,9,17,70,0,4,15,9,21
303,PSX,OTSU,Otsuka Pakistan Ltd.,OTSU,,,,,,,,0,9,17,70,0,4,15,9,21
304,PSX,PIAA,Pak International Airline Corp Ltd,PIAa,,,,,,,,0,9,17,70,0,4,15,9,21
305,PSX,PKGI,Pakistan General Insurance Co.,PGIL,,,,,,,,0,9,17,70,0,4,15,9,21
306,PSX,PACE,Pace (Pakistan) Ltd.,PACP,,,,,,,,0,9,17,70,0,4,15,9,21
307,PSX,PPP,Pakistan Paper Products Ltd.,PKPP,,,,,,,,0,9,17,70,0,4,15,9,21
308,PSX,PRL,Pakistan Refinery Ltd.,PKRF,,,,,,,,0,9,17,70,0,4,15,9,21
309,PSX,PAKRI,Pakistan Reinsurance Comp.,PRIC,,,,,,,,0,9,17,70,0,4,15,9,21
310,PSX,PSYL,Pakistan Synthetics Ltd.,PSYN,,,,,,,,0,9,17,70,0,4,15,9,21
311,PSX,PPVC,Pakistan PVC,PPVC,,,,,,,,0,9,17,70,0,4,15,9,21
312,PSX,PECO,Pakistan Engineering Co Ltd.,PKEG,,,,,,,,0,9,17,70,0,4,15,9,21
313,PSX,PRET,Premium Textile Mills Ltd.,PRET,,,,,,,,0,9,17,70,0,4,15,9,21
314,PSX,QUICE,Quice Food Industries Ltd.,QCFD,,,,,,,,0,9,17,70,0,4,15,9,21
315,PSX,PRWM,Prosperity Weaving Mills Ltd.,PWML,,,,,,,,0,9,17,70,0,4,15,9,21
316,PSX,REDCO,Redco Textile Ltd.,REDT,,,,,,,,0,9,17,70,0,4,15,9,21
317,PSX,RCML,Reliance Cotton Spinning Mills.,RELI,,,,,,,,0,9,17,70,0,4,15,9,21
318,PSX,RUBY,Ruby Textile Mills Ltd.,RUBY,,,,,,,,0,9,17,70,0,4,15,9,21
319,PSX,SKRS,Sakrand Sugar Mills Ltd.,SAKS,,,,,,,,0,9,17,70,0,4,15,9,21
320,PSX,SLYT,SME Leasing Ltd.,SALY,,,,,,,,0,9,17,70,0,4,15,9,21
321,PSX,SSML,Saritow Spinning Mills Ltd.,SARW,,,,,,,,0,9,17,70,0,4,15,9,21
322,PSX,SPLC,Sitara Peroxide Limited,SAUD,,,,,,,,0,9,17,70,0,4,15,9,21
323,PSX,SARC,Sardar Chemical IndustriesLtd.,SCHI,,,,,,,,0,9,17,70,0,4,15,9,21
324,PSX,STCL,Shabbir Tiles and Ceramics Limited.,SHAB,,,,,,,,0,9,17,70,0,4,15,9,21
325,PSX,SHNI,Shaheen Insurance Co Ltd.,SHAH,,,,,,,,0,9,17,70,0,4,15,9,21
326,PSX,SHSML,Shahmurad Sugar Mills Ltd.,SHMS,,,,,,,,0,9,17,70,0,4,15,9,21
327,PSX,SHEZ,Shezan International Ltd.,SHEZ,,,,,,,,0,9,17,70,0,4,15,9,21
328,PSX,SILK,Silk Bank Limited.,SILK,,,,,,,,0,9,17,70,0,4,15,9,21
329,PSX,STPL,Siddiqsons Tin Plate Ltd.,STPL,,,,,,,,0,9,17,70,0,4,15,9,21
330,PSX,SPL,Sitara Peroxide Limited,SIPE,,,,,,,,0,9,17,70,0,4,15,9,21
331,PSX,SNBL,Soneri Bank Ltd.,SONA,,,,,,,,0,9,17,70,0,4,15,9,21
332,PSX,SUHJ,Sohail Jute Mills Ltd.,SUHA,,,,,,,,0,9,17,70,0,4,15,9,21
333,PSX,SMBL,Summit Bank Limited.,SMBL,,,,,,,,0,9,17,70,0,4,15,9,21
334,PSX,ORIXM,Olympia Mills Limited.,ORIM,,,,,,,,0,9,17,70,0,4,15,9,21
335,PSX,TELE,Telecard Ltd.,TCLD,30,,Growth,,TRUE,,,0,9,17,70,0,4,15,9,21
336,PSX,TGL,Tariq Glass.,TAGS,36,,Growth,,TRUE,,,0,9,17,70,0,4,15,9,21
337,PSX,TRIPF,Tri-Pack Films Ltd.,TPFL,,,,,,,,0,9,17,70,0,4,15,9,21
338,PSX,TSPL,Tri -Star Power Ltd.,TRSP,,,,,,,,0,9,17,70,0,4,15,9,21
339,PSX,UNIC,United Insurance Company.,UNTD,,,,,,,,0,9,17,70,0,4,15,9,21
340,PSX,WAHN,Wah Noble Chemicals Ltd.,WAHN,,,,,,,,0,9,17,70,0,4,15,9,21
341,PSX,WTL,Worldcall Telecom Ltd.,WCTL,35,,Growth,,TRUE,,,0,9,17,70,0,4,15,9,21
342,PSX,ZTL,Zephyr Textile Limited.,ZTL,,,,,,,,0,9,17,70,0,4,15,9,21
343,PSX,ASHT,Ashfaq Textile Mills Ltd.,ASFQ,,,,,,,,0,9,17,70,0,4,15,9,21
344,PSX,BAFS,Baba Faried Sugar Mills Ltd.,BABA,,,,,,,,0,9,17,70,0,4,15,9,21
345,PSX,KASBM,KASB Modaraba.,KASM,,,,,,,,0,9,17,70,0,4,15,9,21
346,PSX,POML,Punjab Oil Mills Ltd.,PJBO,,,,,,,,0,9,17,70,0,4,15,9,21
347,PSX,AGL,Agritech Limited,AGLI,,,,,,,,0,9,17,70,0,4,15,9,21
348,PSX,TPL,TPL CORP Limited.,TPLC,,,,,,,,0,9,17,70,0,4,15,9,21
349,PSX,FANM,First Al-Noor Mod.,1ALN,,,,,,,,0,9,17,70,0,4,15,9,21
350,PSX,PKGP,Pakgen Power Limited.,PKPL,,,,,,,,0,9,17,70,0,4,15,9,21
351,PSX,AGSML,Abdullah Shah Ghazi Sugar Mills Ltd.,ABDU,,,,,,,,0,9,17,70,0,4,15,9,21
352,PSX,BCML,Bolan Casting Ltd.,BABR,,,,,,,,0,9,17,70,0,4,15,9,21
353,PSX,DINT,Din Textile Mills Ltd.,DNTX,,,,,,,,0,9,17,70,0,4,15,9,21
354,PSX,IDRT,Idrees Textile Mills Ltd.,IDTX,,,,,,,,0,9,17,70,0,4,15,9,21
355,PSX,NSRM,The National Silk & Rayon Mills Ltd.,NASK,,,,,,,,0,9,17,70,0,4,15,9,21
356,PSX,PINL,Premier Insurance Limited.,PREI,,,,,,,,0,9,17,70,0,4,15,9,21
357,PSX,ZIL,ZIL Limited.,ZILL,,,,,,,,0,9,17,70,0,4,15,9,21
358,PSX,PMRS,Premier Sugar Mills & Distille,PRES,,,,,,,,0,9,17,70,0,4,15,9,21
359,PSX,SAPT,Sapphire Textile Mills Ltd.,SAPT,,,,,,,,0,9,17,70,0,4,15,9,21
360,PSX,EPQL,Engro Powergen Qadirpur Ltd.,ENGP,,,,,,,,0,9,17,70,0,4,15,9,21
361,PSX,ARM,Allied Rental Modaraba.,ARM,,,,,,,,0,9,17,70,0,4,15,9,21
362,PSX,ARUJ,Aruj Industries Limited.,ARUJ,,,,,,,,0,9,17,70,0,4,15,9,21
364,PSX,BCL,Bolan Casting Ltd.,BOLC,,,,,,,,0,9,17,70,0,4,15,9,21
365,PSX,MUGHAL,Mughal Iron & Steels Ind Ltd.,MUGH,36,,Growth,,TRUE,,,0,9,17,70,0,4,15,9,21
366,PSX,GGGL,Ghani Global Glass Limited.,GGGL,30,,Growth,,TRUE,,,0,9,17,70,0,4,15,9,21
367,PSX,FPRM,First Paramount Mod.,FPMM,,,,,,,,0,9,17,70,0,4,15,9,21
368,PSX,IDSM,Ideal Spinning Mills Ltd.,IDES,,,,,,,,0,9,17,70,0,4,15,9,21
369,PSX,PHDL,Pakistan Hotels Developers Ltd.(XD),PHTD,,,,,,,,0,9,17,70,0,4,15,9,21
370,PSX,SCL,Shield Corporation Ltd.,SCL,,,,,,,,0,9,17,70,0,4,15,9,21
371,PSX,SHDT,Shadab Textile Mills Ltd.,SHAT,,,,,,,,0,9,17,70,0,4,15,9,21
372,PSX,SZTM,Shahzad Textile Mills Ltd.,SHZT,,,,,,,,0,9,17,70,0,4,15,9,21
373,PSX,SASML,Sindh Abadgars Sugar Mills Ltd.,SNAB,,,,,,,,0,9,17,70,0,4,15,9,21
374,PSX,SSOM,S .S . Oil Mills Ltd.,SSOM,,,,,,,,0,9,17,70,0,4,15,9,21
375,PSX,TOWL,Towellers  Ltd.,TOWL,,,,,,,,0,9,17,70,0,4,15,9,21
376,PSX,TSBL,Trust Securities & Brokerage.,TRBK,,,,,,,,0,9,17,70,0,4,15,9,21
377,PSX,LPL,LALPIR Power Limited.,LPLP,,,,,,,,0,9,17,70,0,4,15,9,21
378,PSX,SMCPL,Safe Mix Concrete Ltd.,SAFE,,,,,,,,0,9,17,70,0,4,15,9,21
379,PSX,ASTL,Amreli Steels Limited.,AMST,,,,,,,,0,9,17,70,0,4,15,9,21
380,PSX,AWWAL,Awwal Modaraba.,AWWA,,,,,,,,0,9,17,70,0,4,15,9,21
381,PSX,SINDM,Sindh Modaraba.,SMOD,,,,,,,,0,9,17,70,0,4,15,9,21
382,PSX,TPLP,TPL Properties Limited.,TPLR,,,,,,,,0,9,17,70,0,4,15,9,21
383,PSX,ASL,Aisha Steel Mills Limited.,AISH,,,,,,,,0,9,17,70,0,4,15,9,21
384,PSX,ASLPS,Aisha Steel Mills Convertibl  Pre-Sh,AISH_pa,,,,,,,,0,9,17,70,0,4,15,9,21
385,PSX,CTM,Colony Textile Mills Ltd.,CTML,,,,,,,,0,9,17,70,0,4,15,9,21
386,PSX,LOADS,Loads Limited.,LOAD,,,,,,,,0,9,17,70,0,4,15,9,21
387,PSX,NEXT,Next Capital Limited.,NEXT,,,,,,,,0,9,17,70,0,4,15,9,21
388,PSX,PIM,Popular Islamic Madaraba,POPL,,,,,,,,0,9,17,70,0,4,15,9,21
389,PSX,SBL,Samba Bank Limited.,SBL,,,,,,,,0,9,17,70,0,4,15,9,21
390,PSX,SLL,SME Leasing Ltd.,SLL,,,,,,,,0,9,17,70,0,4,15,9,21
391,PSX,TPLI,TPL Insurance Ltd.,TPLI,,,,,,,,0,9,17,70,0,4,15,9,21
392,PSX,UCAPM,Unicap Modaraba.,UNIA,,,,,,,,0,9,17,70,0,4,15,9,21
393,PSX,HSM,Husein Sugar Mills Limited.,HUSA,,,,,,,,0,9,17,70,0,4,15,9,21
394,PSX,KPUS,Khairpur Sugar Mills Ltd.,KHPR,,,,,,,,0,9,17,70,0,4,15,9,21
395,PSX,NCML,Nazir Cotton Mills Ltd.,NZCM,,,,,,,,0,9,17,70,0,4,15,9,21
396,PSX,SANSM,Sanghar Sugar Mills Ltd.,SANS,,,,,,,,0,9,17,70,0,4,15,9,21
397,PSX,SHCM,Shadman Cotton Mills Ltd.,SHAC,,,,,,,,0,9,17,70,0,4,15,9,21
398,PSX,SHJS,Shahtaj Sugar Mills Ltd.,SHAS,,,,,,,,0,9,17,70,0,4,15,9,21
399,PSX,SERF,Security Papers Ltd.,SVCF,,,,,,,,0,9,17,70,0,4,15,9,21
400,PSX,TICL,Thal Industries Corporation Ltd.,THLI,,,,,,,,0,9,17,70,0,4,15,9,21
401,PSX,ITTEFAQ,Ittefaq Iron Industries Limited.,ITTE,,,,,,,,0,9,17,70,0,4,15,9,21
402,PSX,FIMM,First Imrooz Mod.,1IMD,,,,,,,,0,9,17,70,0,4,15,9,21
403,PSX,UBDL,United Brands Limited.,UDLI,,,,,,,,0,9,17,70,0,4,15,9,21
404,PSX,HMM,Habib Metro Modaraba.,HABB,,,,,,,,0,9,17,70,0,4,15,9,21
405,PSX,BHAT,Bhanero Textile Mills Ltd.,BHAN,,,,,,,,0,9,17,70,0,4,15,9,21
406,PSX,ORM,Orient Rental Modaraba.,OREN,,,,,,,,0,9,17,70,0,4,15,9,21
407,PSX,LPGL,Leiner Pak Gelantine Limited.,LEGL,,,,,,,,0,9,17,70,0,4,15,9,21
408,PSX,FTSM,First Tri-Star Mod.,TRIS,,,,,,,,0,9,17,70,0,4,15,9,21
409,PSX,MFL,Matco Foods Limited.,MATC,,,,,,,,0,9,17,70,0,4,15,9,21
410,PSX,FTMM,First Treet Manufacturing Modaraba.,FTMM,,,,,,,,0,9,17,70,0,4,15,9,21
411,PSX,MSCL,Metropolitan Steel Corporation,METS,,,,,,,,0,9,17,70,0,4,15,9,21
412,PSX,TRIP,TRG Pakistan Ltd.,TRIP,,,,,,,,0,9,17,70,0,4,15,9,21
413,PSX,JHPH,Jubilee General Insurance Co.Ltd.,JHPH,,,,,,,,0,9,17,70,0,4,15,9,21
414,PSX,PASL,Pervez Ahmed Consultancy Services Ltd.,PASL,,,,,,,,0,9,17,70,0,4,15,9,21
415,PSX,RAVT,Quice Food Industries Ltd.,RAVT,,,,,,,,0,9,17,70,0,4,15,9,21
416,PSX,HIFA,HBL Investment Fund,HBLI,,,,,,,,0,9,17,70,0,4,15,9,21
417,PSX,SMTX,Samin Textiles Ltd.,SMTX,,,,,,,,0,9,17,70,0,4,15,9,21
418,PSX,SALF,Saif Textile Mills Ltd.,SALF,,,,,,,,0,9,17,70,0,4,15,9,21
419,PSX,GGL,Ghani Global Holdings Limited.,GHAN,30,,Growth,,TRUE,,,0,9,17,70,0,4,15,9,21
420,PSX,HABA,Gharibwal Cement Ltd.,HABA,,,,,,,,0,9,17,70,0,4,15,9,21
421,PSX,BAWA,Bata Pakistan Ltd.,BAWA,,,,,,,,0,9,17,70,0,4,15,9,21
422,PSX,AKDC,Askari Bank Limited.,AKDC,,,,,,,,0,9,17,70,0,4,15,9,21
423,PSX,PKIS,Packages Ltd.,PKIS,,,,,,,,0,9,17,70,0,4,15,9,21
424,PSX,ISLT,International Steels Limited.,ISLT,,,,,,,,0,9,17,70,0,4,15,9,21
425,PSX,SGPL,S. G. Power Ltd.,SGPL,,,,,,,,0,9,17,70,0,4,15,9,21
426,PSX,CPAL,Colgate Palmolive (Pak) Ltd.,CPAL,,,,,,,,0,9,17,70,0,4,15,9,21
427,PSX,DARS,Dadex Eternit Ltd.,DARS,,,,,,,,0,9,17,70,0,4,15,9,21
428,PSX,IMSL,Imperial Limited,IMSL,,,,,,,,0,9,17,70,0,4,15,9,21
429,PSX,JUBL,Jauharabad Sugar Mills Ltd.,JUBL,,,,,,,,0,9,17,70,0,4,15,9,21
430,PSX,MIAN,Matco Foods Limited.,MIAN,,,,,,,,0,9,17,70,0,4,15,9,21
